Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Cabang Balikpapan,Rachmad trisatria,"Pos Indonesia, pengiriman nya buruk, gak profesional

Beda dengan Provider swasta yg Ontime dan selalu bisa dpt / sampai ke alamat Tujuan...",1,5 tahun lalu
Kantor Pos Cabang Balikpapan,Arifial adi pratama,"kecewa sama pelayanan nya , paket nda jelas keberadaan nya sampe sekarang padahal keterangan nya cuma 3 hari sampe , buruk sekali pelayanan macam apa ini",1,5 tahun lalu
Kantor Pos Cabang Balikpapan,Rustandi Natadipura,"Kiriman kilat khusus di chek di status kiriman sudah tiba dr tanggal 15 jan, knp sampai tgl 22jan blm juga dikirim ke alamat, nomor telp pos balikpapan tidak ada yg bisa di hubungi... kecewa dengan pos Indonesia..",1,6 tahun lalu
Kantor Pos Cabang Balikpapan,Monalisa Sirante,"Layanan ramah, bersih dan bisa bayar tagihan listrik/air/telpon dll... mantap👍👍👍👍 …",5,setahun lalu
Kantor Pos Cabang Balikpapan,PosAja Balikpapan,Kantor pos balikpapan di klandasan sekarang buka lebih lama senin sampai sabtu jam 7.30 - 22.00 minggu jam 9.00-18.00,5,3 tahun lalu
Kantor Pos Cabang Balikpapan,Azizah Nurfadhillah Alisa,"Menurut saya sih pelayananx lumayan bagus,ayo dong kantor pos,lebih di tingkatkan lagi pelayananx",4,8 tahun lalu
Kantor Pos Cabang Balikpapan,Emy Wulandari,"Paket di kirim lebih dr sebulan yg lalu, belum sampai juga. Info dr pos sudah di terima, tp barang belum sampai. Diterima oleh siapa?",1,8 tahun lalu
Kantor Pos Cabang Balikpapan,Sidik Sidik,"Terima kasih pak Pos, jam bukanya lebih panjang dan bisa menjangkau keseluruh wilayah Indonesia, tingkatkan terus..pelayanan, agar masyarakat semakin simpati",4,8 tahun lalu
Kantor Pos Cabang Balikpapan,Fery Irawan,"Ditelepon untuk cek paket luar negeri nggak diangkat...
Susah mau maju klo pelayanan kurang baik",2,4 tahun lalu
Kantor Pos Cabang Balikpapan,Hammet Firdaus (Hfirdaus),Sering kirim uang ke Kampung lewat kantor Pos...,5,11 bulan lalu
Kantor Pos Cabang Balikpapan,Putu Sukreni,Selama 1 tahun pake jasa kantor pos gak pernah mengecewakan..,5,6 tahun lalu
Kantor Pos Cabang Balikpapan,Agus Fdr,"Sangat menyenangkan , dan pelayanan yg baik dan ramah",5,11 bulan lalu
Kantor Pos Cabang Balikpapan,Kiki Aswin,"Pengiriman oleh kurir Balikpapan sangat lama. Kalo kirim ke Balikpapan, pake ekspedisi aja. Semoga segera ganti managementnya.",1,4 tahun lalu
Kantor Pos Cabang Balikpapan,M,tempat favorite waktu zaman SMA,4,5 tahun lalu
Kantor Pos Cabang Balikpapan,cha Try,"Sorry y gw kasih bintang 1 soalnya PELAYANAN NYA GAK BAGUS,PELAYANAN NYA CACAT,KIRIM BARANG PAKAI PAKETAN EXPRESS SEHARI SAMPAI TAPI TERNYATA SMPAI 2 HARI GAK DI ANTAR,NO TLP KANTOR DI TLP GAK PERNAH DI ANGKAT,CS PUN DI TLP DI TANYA KOK PAKET EXPRES BISA LAMA JAWAB NY NUNGGU AJA 48 JAM BRU TLP LG. GIMANA CERITANYA PAKETAN SEHARI SAMPAI BISA NUNGGU SMPE 2 HARI.PAS BRNG NYAMPE DI TLP KOK GAK DI ANTR MALAH BLG NY TUNGGU HARI SENIN..GILA GAK TUH PAKE PAKET SEHARI HRUSNY JUMAT TRIMA MALAH HRUS NUNGGU DI ANTAR SENIN..CACAT GAK USAH PAKE POS PELAYANAN NYA BURUK. GAK MENTINGIN PEMAKAI JASA YANG URGENT. KL BLN PUASA JLANG LBARAN SIH MAKLUM AJA OVERLOAD TP INI GAK MALAH LELET. MENURUT GW BAGUSAN EXPEDISI LAIN KL EXPRES DI PRIORITASKAN KARNA PASTI BARANG/DOKUMEN PENTING & URGENT. #KAPOKPAKAIPOS#CACAT#PELAYANANBURUK#CSNORESPON#JANGANPAKAIJASAPOS",1,8 tahun lalu
Kantor Pos Cabang Balikpapan,Fitry Samsul,G mna sich nic kantor pos klo di hbngn gak diangkt trus klo di tlpn lngsng sbuk hrus di tegur,5,9 tahun lalu
Kantor Pos Cabang Balikpapan,Espe Es,Bukti nyata keseriusan dlm pengiriman barang atau dokumen yg profesional yg ditunjjukan Pos Indonesia,5,7 tahun lalu
Kantor Pos Cabang Balikpapan,Ali Ali,"Kau buat pengiriman barang seperti meja atu komplesor bisa g....
Inpoya dong untuk hari ini",5,6 tahun lalu
Kantor Pos Cabang Balikpapan,Hanna Muji,ruangannya luas... pelayanannya ramah..,5,11 bulan lalu
Kantor Pos Cabang Balikpapan,Sukses Berawal Dari Sini,"ya kalo mau kirim barang segala segalanya bisa di perusahaan terbesar di indonesia ini, bayar apapun boleh,, jasa keuangan boleh...",5,12 tahun lalu
Kantor Pos Cabang Balikpapan,Kasyful Khuzairi,Mantabb PT Pos...kmren saya kirim paket jam 20.15 Mash buka...,5,3 tahun lalu
Kantor Pos Cabang Balikpapan,Awie macho,"Nomer telp kantor pos ditelp tidak diangkat, yg diangkat malah telp fax, dan disuruh telp kenomer yg tidak diangkat2.. Bingung gak tuh?",1,8 tahun lalu
Kantor Pos Cabang Balikpapan,wahyu manda saputra,"Paket super jumbo isi motor ,ngk di anter sampai rumah , sangat mengecewakan harus ambil sendiri 😢😢😢😢😢 …",1,8 tahun lalu
Kantor Pos Cabang Balikpapan,achmad busiri,-maaf mau tanya kalau kirim barang via laut dari balikpapan ke pontianak paket biasa yg 2 minggu sampai tujuan kira2 berapa ya ongkos kirimnya,5,6 tahun lalu
Kantor Pos Cabang Balikpapan,Susila Winata,"Petugas Loketnya ramah, Ruangan bersih rapi",5,setahun lalu
Kantor Pos Cabang Balikpapan,aldo genic,Ini kantor pos apa kuburan. Di telpon kok gk ada yg angkat. Makan gaji buta.,1,8 tahun lalu
Kantor Pos Cabang Balikpapan,alhamdulillah_,"profesional, sergap, tepat waktu dan aman. dan tentunya dgn biaya yg cukup murah. Old but Gold ❤️",5,7 tahun lalu
Kantor Pos Cabang Balikpapan,Ajeng Dwiyani,Jam bukanya panjang. Smoga terus buka sampe malam,5,setahun lalu
Kantor Pos Cabang Balikpapan,Dina Ariyani,Keren sekarang kantornya bagus dan pelayanannya bersaing,5,2 tahun lalu
Kantor Pos Cabang Balikpapan,Budi Santoso,Layananya buka sampai jam 10 malam.. mantabb..,5,setahun lalu
Kantor Pos Cabang Balikpapan,Adi P,"Mengecewakan, ngirim motor plat nomor g ada satu...",1,6 tahun lalu
Kantor Pos Cabang Balikpapan,arna okta,SEMUA NOMOR TELPON KANTOR POS DIBALIKPAPAN FIX NGGAK ADA YANG NGANGKAT. Sangat tidak informatif. Tidak bisa membantu ketika urgent,1,8 tahun lalu
Kantor Pos Cabang Balikpapan,Yani Rukani,"Aman dan amanah, servise bagus.",4,11 bulan lalu
Kantor Pos Cabang Balikpapan,Dandy Veterly,Belum ada perubahan signifikan yang mungkin membuat user nyaman menunggu,4,7 tahun lalu
Kantor Pos Cabang Balikpapan,Rahma Bppn,Bagus pengiriman cepat pelayanannya jg sangat bagus,5,5 tahun lalu
Kantor Pos Cabang Balikpapan,Muh aries Yusuf,Sukses terus dalam menjaga amanat,5,11 bulan lalu
Kantor Pos Cabang Balikpapan,Novia Harfianty,"Pakai Paket Tipe ""Kilat Khusus"" masih saja lama sampai.",1,6 tahun lalu
Kantor Pos Cabang Balikpapan,khaithir haidar,"Lama amat, barang ga nyampe2 udah 2 minggu",1,7 tahun lalu
Kantor Pos Cabang Balikpapan,firman Aprilianto,Pelayanan cepat dan ramah ...pertahankan...,5,setahun lalu
Kantor Pos Cabang Balikpapan,Fransiskus Elfren,"Barang tidak diantar"", pengiriman lama",1,5 tahun lalu
Kantor Pos Cabang Balikpapan,hhadiwibowo,"Kantor pos balikpapan, berproses menjadi lebih baik",4,2 tahun lalu
Kantor Pos Cabang Balikpapan,Muhammad Rifaldy,Express Next Day Barang belum juga tiba hingga sekarang,1,6 tahun lalu
Kantor Pos Cabang Balikpapan,Ummu Fahmi,"Costumer banyak tidak ada no. antrian
Antri pakai berdiri",2,7 tahun lalu
Kantor Pos Cabang Balikpapan,Fitria barito,Pelayanan nya oke..👍👍👍 …,5,11 bulan lalu
Kantor Pos Cabang Balikpapan,D M Loudewyek,"tempat mengirim surat dan barang, selain expedisi lainnya",3,7 tahun lalu
Kantor Pos Cabang Balikpapan,van java sablon,Pengiriman lambat......pelayanan model apa ini....kecewa,1,6 tahun lalu
Kantor Pos Cabang Balikpapan,Gevinda Rizki Dewi,Sepengalaman aku sih pelayanan oke aja...,4,8 tahun lalu
