Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Banjarmasin,Arief Yuniardi,Peyananan kurg bagus ditanya jawabn ny kurg enak didengar...semoga ada perbaikn untuk pelayanan...,1,2 tahun lalu
Kantor Pos Banjarmasin,M Rafii,"Mantap ,, Kiriman dr pelaihari ke bjm sdh hampir 4hari blm ada kabar 😂 …",1,5 tahun lalu
Kantor Pos Banjarmasin,AKN 87,"Saya ga tau baiknya dimana, pengiriman lama, sistem onlinenya blm beres kh keliatannya",1,6 tahun lalu
Kantor Pos Banjarmasin,Muhammad Farhan Radifan,"Kalau bisa sih hari sabtu buka juga, karena kalau hari efektif seperti senin sampai jum'at kan banyak yang sibuk",2,8 tahun lalu
Kantor Pos Banjarmasin,Mutiara86,"Terimakasih kantor pos atas pelayanan nya,,,  makin betah di kantor pos sekarang,  adem dan cantik2",4,6 tahun lalu
Kantor Pos Banjarmasin,Rayza Rizquina,pelayanan tidak ramah sama sekali,1,11 bulan lalu
Kantor Pos Banjarmasin,Haifa Daily,"Pengalaman saat mengambil WU pelayanannya cukup bagus ...
Follow IG @bakso.buburayam.banjarmasin",5,6 tahun lalu
Kantor Pos Banjarmasin,Fitrya Mirza,Barang sdh smpai seminggu yang lalu tapi blum ada pengiriman smpai kerumah.,1,4 tahun lalu
Kantor Pos Banjarmasin,Rizki Gaiden,Parah euy barang udah di spp bjm tpi gk dikirim2 ke alamat saya.,1,5 tahun lalu
Kantor Pos Banjarmasin,Ariel Hariri,super lambat!!!! barang sudah diantar kataya 1 hari belom sampe!,1,8 tahun lalu
Kantor Pos Banjarmasin,mahyudin noor,"Tempat mengirim surat, membeli barang, benda pos dan membayar bermacam iuran bulanan rumah tangga",4,5 tahun lalu
Kantor Pos Banjarmasin,Trie Noor Wulandari,Pelayanan nya bagus dan ramah👍👍 …,5,11 bulan lalu
Kantor Pos Banjarmasin,S k y l i n e,Ini transit Hub DC 70006 yaa,1,11 bulan lalu
Kantor Pos Banjarmasin,Juwita Intan,Lama bgt sumpah kapok gak mau lagi dahh pakai pos😭 …,1,4 tahun lalu
Kantor Pos Banjarmasin,Kartika Eka H,Kalo hari minggu tetap buka sampai sore sampai jam 3an!,5,7 tahun lalu
Kantor Pos Banjarmasin,Andi Ramadhan,Pelayanan sangat bagus :),5,11 bulan lalu
Kantor Pos Banjarmasin,muhammad ahwan,Pelayanan terbaik,5,11 bulan lalu
Kantor Pos Banjarmasin,Ahmad Abbas,Kantor pos Terbaik,5,11 bulan lalu
Kantor Pos Banjarmasin,Alfian Noor,Beli materai dulu disini,5,10 bulan lalu
Kantor Pos Banjarmasin,marwah Avm,Barang nya tak kunjung datang sangat kecewa asli kecewa,1,7 tahun lalu
Kantor Pos Banjarmasin,Zalsabila,Pelayanan sangat cepat,5,11 bulan lalu
Kantor Pos Banjarmasin,Shinta Sartono,Semakin baik kantorpos Banjarmasin,5,11 bulan lalu
Kantor Pos Banjarmasin,Rudi Setiawan,Pelayanan ramah terima kasih kantor pos banjarmasin,5,6 tahun lalu
Kantor Pos Banjarmasin,akhmad anwardi,Tetap jadi pilihan dari masa ke masa,5,11 bulan lalu
Kantor Pos Banjarmasin,Hair Alaska,Mas klo ngirim barang ke kalteng mentangai brp,2,5 tahun lalu
Kantor Pos Banjarmasin,Fatchur Rahmansyah,Pelayanan prima,5,11 bulan lalu
Kantor Pos Banjarmasin,Nur Fajri,Terlalu ribet persyaratan nya .. lama lama bangkrut kyak nya,1,5 tahun lalu
Kantor Pos Banjarmasin,Akhfa Vahrian,Pelayanan buruk sekali tidak ada rmahanya,1,6 tahun lalu
Kantor Pos Banjarmasin,Aislie Anantama Septiawan,Bagus rapi dan tersedia kfc dibawahnya,5,8 tahun lalu
Kantor Pos Banjarmasin,ghina yaumil,pelayanan sangat bagus,5,11 bulan lalu
Kantor Pos Banjarmasin,Jumiati Jumiati,👍👍👍 …,5,11 bulan lalu
Kantor Pos Banjarmasin,Khairi Pahlevi,"Saran, parkiran utk  mobil perlu di tambah",4,7 tahun lalu
Kantor Pos Banjarmasin,Ragamura The Real Refleksi,Knp nomor tlp tdk d cantum kan,1,4 tahun lalu
Kantor Pos Banjarmasin,Hapy Kurniawan,Ada nomor hp yg kawa dhubungi lah???,5,6 tahun lalu
Kantor Pos Banjarmasin,Taufik Hidayat,Sangat bagus,5,11 bulan lalu
Kantor Pos Banjarmasin,Nur Sri,Tellernya cuma 2,3,5 tahun lalu
Kantor Pos Banjarmasin,Akhmad Ramadani,Pelayanan ramah dan cepat tanggap.,5,8 tahun lalu
Kantor Pos Banjarmasin,Nana,"Bagus, pelayanannya ramah",5,5 tahun lalu
Kantor Pos Banjarmasin,Loole Yana,Prangko tersedia di sini,3,2 tahun lalu
Kantor Pos Banjarmasin,Adny Nizomi,Kada kawa mengirim hp,3,9 tahun lalu
Kantor Pos Banjarmasin,Jelita azka madina,level 5 bener2 hot!,4,6 tahun lalu
Kantor Pos Banjarmasin,pakde dono,Pelayanan baik ramah,4,2 tahun lalu
Kantor Pos Banjarmasin,Arifin12 arifin,Sangat berguna bagi masyarakat,3,8 tahun lalu
Kantor Pos Banjarmasin,PURWA BAKTI,Pelayanannya memuaskan,5,7 tahun lalu
Kantor Pos Banjarmasin,Mie Ayam dan Bakso Sidomulyo,Tempat antrian nyaman,5,6 tahun lalu
Kantor Pos Banjarmasin,FITRIA RAHMAH,jelek gabisa baca alamat,1,3 tahun lalu
Kantor Pos Banjarmasin,Lia Manuela,Pelayanannya lumayan,3,7 tahun lalu
Kantor Pos Banjarmasin,Miftah Faqot,Pelayanan ramah dan cepat tanggap,4,8 tahun lalu
Kantor Pos Banjarmasin,syarif muhammad,"Lama, respon gk di tanggapi",1,6 tahun lalu
Kantor Pos Banjarmasin,puji nurhayati,Sangat membantu,5,8 tahun lalu
Kantor Pos Banjarmasin,Afian Hadrian,Parkir mudah,4,9 tahun lalu
Kantor Pos Banjarmasin,Alpian Iyan,Mantap,5,6 tahun lalu
Kantor Pos Banjarmasin,Francis Dalung,Sepi,3,6 tahun lalu
Kantor Pos Banjarmasin,Hairanihafidz Hafidz,Sering singgah kesini,5,5 tahun lalu
Kantor Pos Banjarmasin,Widya WW,"Lantai 1 untuk ekspedisi
Lantai 2 untuk bayar tagihan, pajak, pembelian materai & stempel stempel",5,7 tahun lalu
Kantor Pos Banjarmasin,Mengenal Siapa Saja,Respon lambat,1,2 tahun lalu
